Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy,displaytime
174,1,18,18,0.5,1,0.64229,1,23402.6136
175,2,15,25,0.5,0,1.082,1,23405.7971
176,2,4,18,0.5,0,0.69625,1,23409.4228
177,2,21,90,0.5,1,0.60211,1,23412.629
178,2,10,65,0.5,1,0.97382,1,23415.6901
179,1,4,18,1,0,1.0699,1,23419.6981
180,2,21,65,1,1,0.86501,1,23423.8229
181,2,15,75,0.5,1,0.52629,1,23427.2167
182,2,21,90,0.5,1,0.45658,1,23430.3024
183,1,21,90,0.068,1,1.2556,1,23432.8315
184,2,21,90,0.5,1,0.63117,1,23436.6169
185,2,15,18,0.5,0,1.0089,1,23439.7342
186,2,7,25,0.068,0,0.73657,1,23442.8233
187,1,18,18,0.068,0,2.0883,0,23445.7277
188,1,15,90,1,0,1.2076,0,23450.8474
189,2,4,35,0.5,0,0.73769,1,23454.5177
190,2,21,65,0.5,1,0.75261,1,23457.7512
191,1,18,18,0.068,1,2.3403,1,23460.6037
192,2,10,18,0.5,0,0.90072,1,23465.4193
193,1,15,18,0.068,1,0.95594,1,23468.4121
194,1,15,18,1,1,0.92054,1,23472.3833
195,2,18,18,0.5,0,0.96141,1,23475.8695
196,1,4,75,1,0,0.6351,1,23479.8119
197,2,4,18,1,0,0.64082,1,23483.4149
198,1,4,65,0.5,0,0.69819,1,23486.5977
199,2,21,90,0.068,1,1.0155,1,23489.4083
200,2,18,18,0.068,0,1.1879,1,23492.5072
201,1,10,35,1,0,1.956,1,23496.6838
202,2,15,90,1,1,0.56118,1,23501.6064
203,2,18,18,0.068,0,1.3043,1,23504.2546
204,2,15,18,0.068,0,1.4765,1,23507.6113
205,2,15,18,1,0,1.2187,1,23512.1333
206,2,4,75,1,0,0.63051,0,23516.4004
207,1,21,65,0.068,1,1.264,1,23519.1118
208,1,7,25,0.068,0,1.029,1,23522.4507
209,1,7,90,0.068,0,1.6359,1,23525.5314
210,2,4,65,0.5,0,0.74207,0,23529.6818
211,2,10,35,1,0,0.73009,1,23533.4618
212,2,21,65,0.068,1,0.75946,1,23536.2402
213,2,7,25,0.068,1,1.6739,0,23539.1098
214,2,7,90,0.068,1,1.3236,1,23542.8834
215,1,7,25,1,0,1.171,1,23547.2127
216,2,7,25,1,0,0.40291,1,23551.388
