Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy,displaytime
158,2,21,75,0.068,1,1.1657,1,3094660.5269
159,1,21,65,1,0,0.58598,0,3094664.723
160,2,21,75,1,1,0.54394,1,3094668.3085
161,1,15,75,0.5,0,1.6016,0,3094671.3547
162,2,10,90,1,0,2.4713,0,3094675.9976
163,2,7,25,1,1,1.9737,0,3094681.487
164,1,21,90,0.5,0,2.7408,0,3094685.9675
165,1,21,90,0.5,0,4.0442,0,3094691.1998
166,2,15,75,0.068,1,2.5978,1,3094697.3666
167,1,15,18,0.5,0,2.288,0,3094702.4759
168,1,7,25,0.068,0,4.1621,1,3094706.8898
169,2,18,18,1,0,0.81831,1,3094714.1221
170,1,4,35,0.5,1,1.3912,0,3094717.4453
171,1,21,65,0.5,0,1.1568,0,3094721.3602
172,1,10,18,0.5,1,1.0147,0,3094725.0213
173,2,18,75,0.5,0,0.71702,0,3094728.503
174,1,18,18,0.5,0,2.0974,0,3094731.8025
175,2,15,25,0.5,1,1.2961,0,3094736.4445
176,2,4,18,0.5,1,1.4594,0,3094740.2886
177,2,21,90,0.5,0,1.3958,0,3094744.2646
178,2,10,65,0.5,1,2.3265,1,3094748.1255
179,1,4,18,1,0,1.0151,1,3094753.4929
180,2,21,65,1,0,2.083,0,3094757.5699
181,2,15,75,0.5,0,2.0398,0,3094762.1887
182,2,21,90,0.5,0,0.44407,0,3094766.7923
183,1,21,90,0.068,0,0.8087,0,3094769.3153
184,2,21,90,0.5,0,1.8412,0,3094772.6593
185,2,15,18,0.5,0,4.7485,1,3094777.0004
186,2,7,25,0.068,1,11.7218,0,3094783.8346
187,1,18,18,0.068,0,2.5661,0,3094797.7659
188,1,15,90,1,0,2.0813,0,3094803.3711
189,2,4,35,0.5,1,1.8774,0,3094807.9189
190,2,21,65,0.5,1,3.4177,1,3094812.2987
191,1,18,18,0.068,0,1.1861,0,3094817.8503
192,2,10,18,0.5,1,1.2861,0,3094821.5183
193,1,15,18,0.068,1,3.6962,1,3094824.9083
194,1,15,18,1,0,3.1244,0,3094831.6316
195,2,18,18,0.5,1,28.309,0,3094837.3595
196,1,4,75,1,1,0.1638,0,3094868.6561
197,2,4,18,1,0,0.52214,1,3094871.7939
198,1,4,65,0.5,0,0.24327,1,3094874.8652
199,2,21,90,0.068,1,0.17956,1,3094877.2254
200,2,18,18,0.068,0,0.42215,1,3094879.5184
201,1,10,35,1,1,0.0008512,0,3094882.9367
202,2,15,90,1,0,0.15718,0,3094885.9112
203,2,18,18,0.068,1,1.3724,0,3094888.168
204,2,15,18,0.068,1,1.2913,0,3094891.6011
205,2,15,18,1,1,1.0663,0,3094895.9542
206,2,4,75,1,0,0.31365,0,3094900.0744
207,1,21,65,0.068,0,0.28894,0,3094902.4754
208,1,7,25,0.068,1,0.0010378,0,3094904.8526
209,1,7,90,0.068,0,0.0010268,1,3094906.9301
210,2,4,65,0.5,0,0.049076,0,3094909.4758
211,2,10,35,1,1,0.0012331,0,3094912.573
212,2,21,65,0.068,0,12.9483,0,3094914.6317
213,2,7,25,0.068,1,1.0768,0,3094929.6951
214,2,7,90,0.068,1,1.144,1,3094932.8765
215,1,7,25,1,0,1.2758,1,3094937.0327
216,2,7,25,1,1,4.627,0,3094941.321
